ID;Zona;Orden;Hito/punto;Código/ruta/mapa;Hora llegada;Hora salida;Tiempo desde anterior;Latitud;Longitud;Precisión GPS;Punto seguro de escucha;Lado del camino;Anchura libre;Superficie/firme;Sombra;Ruido/ambiente;¿Audio termina antes de caminar?;Acceso interior/exterior;Desnivel/escalones;Alternativa accesible;Foto archivo;Observaciones
Z1-01;1;1;Entrada, plano y acceso;H1 / mapa 1;;;;;;;;;;;;;;;;;;
Z1-02;1;2;Estanque de nenúfares;L1 / mapa 2;;;;;;;;;;;;;;;;;;
Z1-03;1;3;Insectívoras y mirmecófitas;E1 / mapa 40;;;;;;;;;;;;;;;;;;
Z1-04;1;4;Plantas primitivas;E2 / mapa 38;;;;;;;;;;;;;;;;;;
Z1-05;1;5;Estanques de piedra y Victoria cruziana;E3 / mapa 37;;;;;;;;;;;;;;;;;;
Z1-06;1;6;Bambúes gigantes;mapa 34;;;;;;;;;;;;;;;;;;
Z1-07;1;7;Casita del Jardinero;E4 / mapa 35;;;;;;;;;;;;;;;;;;
Z1-08;1;8;Estufas históricas;E5 / mapa 36;;;;;;;;;;;;;;;;;;
Z1-09;1;9;Alberca y glicinia blanca;E6 / mapa 32;;;;;;;;;;;;;;;;;;
Z1-10;1;10;Macfadyena unguis-cati;E6 / zona invernadero;;;;;;;;;;;;;;;;;;
Z1-11;1;11;Paseo de Hibiscos;E7 / mapa 31;;;;;;;;;;;;;;;;;;
Z1-12;1;12;Bosque de bambú negro;E7 / mapa 34;;;;;;;;;;;;;;;;;;
Z1-13;1;13;Regreso a entrada, cafetería y aseos;;;;;;;;;;;;;;;;;;;
Z2-01;2;1;Paseo de Plátanos;H2 / mapa 3;;;;;;;;;;;;;;;;;;
Z2-02;2;2;Glorieta de Amalia Heredia;H3 / mapa 5;;;;;;;;;;;;;;;;;;
Z2-03;2;3;Puente Carretero;H4 / mapa 6;;;;;;;;;;;;;;;;;;
Z2-04;2;4;Teatrillo;H5 / mapa 7;;;;;;;;;;;;;;;;;;
Z2-05;2;5;Busto de Amalia Heredia;H5 / mapa 7;;;;;;;;;;;;;;;;;;
Z2-06;2;6;Fuente del Tritón;H8 / mapa 8;;;;;;;;;;;;;;;;;;
Z2-07;2;7;Puente peatonal;H9;;;;;;;;;;;;;;;;;;
Z2-08;2;8;Kiosco Oriental;H10;;;;;;;;;;;;;;;;;;
Z2-09;2;9;Jardín de González-Andreu;H11-H12 / mapa 14;;;;;;;;;;;;;;;;;;
Z2-10;2;10;Bosquete de cipreses y ardillas;H13;;;;;;;;;;;;;;;;;;
Z2-11;2;11;Cascada de Rafael Echevarría;H19 / mapa 13;;;;;;;;;;;;;;;;;;
Z2-12;2;12;Ría de la Ninfa;H14 / mapa 12;;;;;;;;;;;;;;;;;;
Z2-13;2;13;Fuente/Escultura de la Ninfa;H14 / mapa 12;;;;;;;;;;;;;;;;;;
Z2-14;2;14;Araucaria de Bunya y conos;H14 / mapa 12;;;;;;;;;;;;;;;;;;
Z2-15;2;15;Puente de troncos;H15;;;;;;;;;;;;;;;;;;
Z2-16;2;16;Cascada de Monsteras;mapa 10;;;;;;;;;;;;;;;;;;
Z2-17;2;17;Gran Araucaria;H16 / mapa 11;;;;;;;;;;;;;;;;;;
Z2-18;2;18;Cascada de Piedra;foto oficial / código pendiente;;;;;;;;;;;;;;;;;;
Z2-19;2;19;Canal de agua;código pendiente;;;;;;;;;;;;;;;;;;
Z2-20;2;20;Estanque del Museo Loringiano/Monsteras;código pendiente;;;;;;;;;;;;;;;;;;
Z2-21;2;21;Cenador de las Glicinias;H17 / mapa 9;;;;;;;;;;;;;;;;;;
Z2-22;2;22;Casa-Palacio;H7 / mapa 8;;;;;;;;;;;;;;;;;;
Z2-23;2;23;Patio y fuente central;Casa-Palacio;;;;;;;;;;;;;;;;;;
Z2-24;2;24;Aseos Casa-Palacio;Casa-Palacio;;;;;;;;;;;;;;;;;;
Z2-25;2;25;Antigua pista de tenis;H5 / mapa 8;;;;;;;;;;;;;;;;;;
